s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.1696294E+002, 1.2524462E+001,-4.6879311E+000,-5.5090232E+000,-2.2001637E+000,-1.4990566E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0582406E-003,-2.2561633E-002, 6.5707755E-004, 6.5707755E-004
 1.1713013E+002, 1.2512030E+001,-4.6943543E+000,-5.4912720E+000,-2.1983978E+000,-1.4989829E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9012783E-003,-2.1892223E-002, 6.5707755E-004, 6.5707755E-004
 1.1729733E+002, 1.2535277E+001,-4.7001471E+000,-5.5094629E+000,-2.1977907E+000,-1.4988269E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5854795E-003,-2.2005902E-002, 6.5707755E-004, 6.5707755E-004
 1.1746453E+002, 1.2594437E+001,-4.7168031E+000,-5.5527911E+000,-2.1962357E+000,-1.4986274E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0745836E-002,-2.1255668E-002, 6.5707755E-004, 6.5707755E-004
 1.1763173E+002, 1.2588956E+001,-4.7180950E+000,-5.5463221E+000,-2.1964430E+000,-1.4983950E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2581779E-002,-2.1743600E-002, 6.5707755E-004, 6.5707755E-004
 1.1779892E+002, 1.2563115E+001,-4.7089469E+000,-5.5313632E+000,-2.1940781E+000,-1.4981777E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0618763E-002,-2.1090693E-002, 6.5707755E-004, 6.5707755E-004
 1.1796612E+002, 1.2520726E+001,-4.6924949E+000,-5.5055066E+000,-2.1944431E+000,-1.4979724E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2435072E-002,-2.1516024E-002, 6.5707755E-004, 6.5707755E-004
 1.1813332E+002, 1.2468890E+001,-4.6786261E+000,-5.4669975E+000,-2.1957885E+000,-1.4977705E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.1000644E-003,-2.2299533E-002, 6.5707755E-004, 6.5707755E-004
 1.1830051E+002, 1.2418071E+001,-4.6641991E+000,-5.4255383E+000,-2.2044509E+000,-1.4975709E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5035476E-002,-2.5874074E-002, 6.5707755E-004, 6.5707755E-004
 1.1846771E+002, 1.2406138E+001,-4.6575225E+000,-5.4176694E+000,-2.2074290E+000,-1.4973592E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0681143E-003,-2.6218353E-002, 6.5707755E-004, 6.5707755E-004
 1.1863491E+002, 1.2455187E+001,-4.6798491E+000,-5.4418430E+000,-2.2101687E+000,-1.4971660E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6491212E-003,-2.6389993E-002, 6.5707755E-004, 6.5707755E-004
 1.1880211E+002, 1.2478703E+001,-4.6920631E+000,-5.4504698E+000,-2.2129256E+000,-1.4969868E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1119850E-002,-2.6454213E-002, 6.5707755E-004, 6.5707755E-004
 1.1896931E+002, 1.2490052E+001,-4.6885364E+000,-5.4626228E+000,-2.2170210E+000,-1.4968206E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2091326E-002,-2.7810249E-002, 6.5707755E-004, 6.5707755E-004
 1.1913651E+002, 1.2495617E+001,-4.6922938E+000,-5.4618774E+000,-2.2206744E+000,-1.4966480E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1472518E-002,-2.8893470E-002, 6.5707755E-004, 6.5707755E-004
 1.1930370E+002, 1.2498310E+001,-4.6938795E+000,-5.4549765E+000,-2.2354733E+000,-1.4964003E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1653986E-002,-3.5658890E-002, 6.5707755E-004, 6.5707755E-004
 1.1947090E+002, 1.2499614E+001,-4.6879845E+000,-5.4706531E+000,-2.2149572E+000,-1.4960102E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4625689E-003,-2.3582151E-002, 6.5707755E-004, 6.5707755E-004
 1.1963810E+002, 1.2500331E+001,-4.6925116E+000,-5.4638891E+000,-2.2180183E+000,-1.4953839E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0605357E-002,-2.3626686E-002, 6.5707755E-004, 6.5707755E-004
 1.1980530E+002, 1.2500721E+001,-4.6995121E+000,-5.4535966E+000,-2.2210780E+000,-1.4943969E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4967043E-002,-2.2905044E-002, 6.5707755E-004, 6.5707755E-004
 1.1997250E+002, 1.2501030E+001,-4.7021818E+000,-5.4470687E+000,-2.2246648E+000,-1.4930455E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6342628E-003,-2.2189826E-002, 6.5707755E-004, 6.5707755E-004
 1.2013969E+002, 1.2501209E+001,-4.7017062E+000,-5.4429743E+000,-2.2296824E+000,-1.4916539E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2559964E-002,-2.2319827E-002, 6.5707755E-004, 6.5707755E-004
